Questions,options,answer
"
                            The normal form which satisfies multivalued dependencies and which is in BCNF is
                        ","['A.4 NF', 'B. 3 NF', 'C. 2 NF', 'D. All of the mentioned']","
                    Answer»
                    A. 4 NF
                "
"
                            Which of the following is a tuple-generating dependencies?
                        ","['A.Functional dependency', 'B. Equality-generating dependencies', 'C. Multivalued dependencies', 'D. Non-functional dependency']","
                    Answer»
                    B. Equality-generating dependencies
                "
"
                            The main task carried out in the __________ is to remove repeating attributes to
separate tables.
                        ","['A.First Normal Form', 'B. Second Normal Form', 'C. Third Normal Form', 'D. Fourth Normal Form']","
                    Answer»
                    A. First Normal Form
                "
"
                            Which forms has a relation that possesses data about an individual entity?
                        ","['A.2NF', 'B. 3NF', 'C. 4NF', 'D. 5NF']","
                    Answer»
                    B. 3NF
                "
"
                            Which of the following has each related entity set has its own schema and there is an
additional schema for the relationship set?
                        ","['A.A many-to-many relationship set', 'B. A multivalued attribute of an entity set', 'C. A one-to-many relationship set', 'D. None of the mentioned']","
                    Answer»
                    A. A many-to-many relationship set
                "
"
                            Fifth Normal form is concerned with
                        ","['A.Functional dependency', 'B. Multivalued dependency', 'C. Join dependency', 'D. Domain-key']","
                    Answer»
                    B. Multivalued dependency
                "
"
                            n which of the following, a separate schema is created consisting of that attribute and
the primary key of the entity set.
                        ","['A.A many-to-many relationship set', 'B. A multivalued attribute of an entity set', 'C. A one-to-many relationship set', 'D. None of the mentioned']","
                    Answer»
                    B. A multivalued attribute of an entity set
                "
"
                            In 2NF
                        ","['A.No functional dependencies (FDs) exist', 'B. No multivalued dependencies (MVDs) exist', 'C. No partial FDs exist', 'D. No partial MVDs exist']","
                    Answer»
                    B. No multivalued dependencies (MVDs) exist
                "
"
                            Where is metadata stored in MySQL?
                        ","['A.in the mysql database meta', 'B. in the mysql database metasql', 'C. in the mysql database metadata', 'D. in the mysql database mysql']","
                    Answer»
                    D. in the mysql database mysql
                "
"
                            What MySQL property is used to create a surrogate key in MySQL?
                        ","['A.identical', 'B. unique', 'C. auto_increment', 'D. sequence']","
                    Answer»
                    C. auto_increment
                "
"
                            A relational database consists of a collection of
                        ","['A.keys', 'B. records', 'C. tables', 'D. fields']","
                    Answer»
                    C. tables
                "
"
                            A Database Management System (DBMS) is:
                        ","['A.collection of data describing one particular enterprise', 'B. collection of programs to access data', 'C. all options are correct', 'D. collection of interrelated data']","
                    Answer»
                    C. all options are correct
                "
"
                            Which of the following is not a level of data abstraction?
                        ","['A.view level', 'B. physical level', 'C. logical level', 'D. critical level']","
                    Answer»
                    D. critical level
                "
"
                            Disadvantages of File systems to store data is:
                        ","['A.data isolation', 'B. data redundancy and inconsistency', 'C. difficulty in accessing data', 'D. all options are correct']","
                    Answer»
                    D. all options are correct
                "
"
                            In an Entity Relationship Diagram Rectangles represents
                        ","['A.tables', 'B. attributes', 'C. database', 'D. entity sets']","
                    Answer»
                    D. entity sets
                "
"
                            Which of the following is not a Storage Manager Component?
                        ","['A.transaction manager', 'B. logical manager', 'C. file manager', 'D. buffer manager']","
                    Answer»
                    B. logical manager
                "
"
                            Data Manipulation Language enables users to
                        ","['A.retrieval of information stored in database', 'B. insertion of new information into the database', 'C. deletion of information from the database', 'D. all the options are correct']","
                    Answer»
                    D. all the options are correct
                "
