Questions,options,answer
"
                            The term _______ is used to refer to a row.
                        ","['A.Attribute', 'B. Tuple', 'C. Field', 'D. Instance']","
                    Answer»
                    B. Tuple
                "
"
                            The term attribute refers to a ___________ of a table.
                        ","['A.Record', 'B. Column', 'C. Tuple', 'D. Key']","
                    Answer»
                    B. Column
                "
"
                            For each attribute of a relation, there is a set of permitted values, called the ________ of
that attribute.
                        ","['A.Domain', 'B. Relation', 'C. Set', 'D. Schema']","
                    Answer»
                    A. Domain
                "
"
                            Database __________ which is the logical design of the database, and the database
_______ which is a snapshot of the data in the database at a given instant in time.
                        ","['A.Instance, Schema', 'B. Relation, Schema', 'C. Relation, Domain', 'D. Schema, Instance']","
                    Answer»
                    D. Schema, Instance
                "
"
                            Course(course_id,sec_id,semester)
Here the course_id,sec_id and semester are __________ and course is a _________
                        ","['A.Relations, Attribute', 'B. Attributes, Relation', 'C. Tuple, Relation', 'D. Tuple, Attributes']","
                    Answer»
                    B. Attributes, Relation
                "
"
                            Department (dept name, building, budget) and Employee (employee_id, name, dept name, salary) 
Here the dept_name attribute appears in both the relations. Here using common attributes in relation schema is one way of relating ___________ relations.
                        ","['A.Attributes of common', 'B. Tuple of common', 'C. Tuple of distinct', 'D. Attributes of distinct']","
                    Answer»
                    C. Tuple of distinct
                "
"
                            A domain is atomic if elements of the domain are considered to be ____________ units.
                        ","['A.Different', 'B. Indivisbile', 'C. Constant', 'D. Divisible']","
                    Answer»
                    B. Indivisbile
                "
"
                            The tuples of the relations can be of ________ order.
                        ","['A.Any', 'B. Same', 'C. Sorted', 'D. Constant']","
                    Answer»
                    A. Any
                "
"
                            Choose the correct statement regarding superkeys
                        ","['A.A superkey is an attribute or a group of multiple attributes that can uniquely identify a tuple', 'B. A superkey is a tuple or a set of multiple tuples that can uniquely identify an attribute', 'C. Every superkey is a candidate key', 'D. A superkey is an attribute or a set of attributes that distinguish the relation from other relations']","
                    Answer»
                    A. A superkey is an attribute or a group of multiple attributes that can uniquely identify a tuple
                "
"
                            What is an Instance of a Database?
                        ","['A.The logical design of the database system', 'B. The entire set of attributes of the Database put together in a single relation', 'C. The state of the database system at any given point of time', 'D. The initial values inserted into the Database immediately after its creation']","
                    Answer»
                    C. The state of the database system at any given point of time
                "
"
                            What is a foreign key?
                        ","['A.A foreign key is a primary key of a relation which is an attribute in another relation', 'B. A foreign key is a superkey of a relation which is an attribute in more than one other relations', 'C. A foreign key is an attribute of a relation that is a primary key of another relation', 'D. A foreign key is the primary key of a relation that does not occur anywhere else in the schema']","
                    Answer»
                    C. A foreign key is an attribute of a relation that is a primary key of another relation
                "
"
                            What action does ⋈ operator perform in relational algebra
                        ","['A.Output specified attributes from all rows of the input relation and remove duplicate tuples from the output', 'B. Outputs pairs of rows from the two input relations that have the same value on all attributes  that have the same name', 'C. Output all pairs of rows from the two input relations (regardless of whether or not they have the same values on common attributes)', 'D. Return rows of the input relation that satisfy the predicate']","
                    Answer»
                    A. Output specified attributes from all rows of the input relation and remove duplicate tuples from the output
                "
"
                            What does the “x” operator do in relational algebra?
                        ","['A.Output specified attributes from all rows of the input relation. Remove duplicate tuples from the output', 'B. Output pairs of rows from the two input relations that have the same value on all attributes that have the same name', 'C. Output all pairs of rows from the two input relations (regardless of whether or not they have the same values on common attributes)', 'D. Returns the rows of the input relation that satisfy the predicate']","
                    Answer»
                    C. Output all pairs of rows from the two input relations (regardless of whether or not they have the same values on common attributes)
                "
"
                            An attribute is a __________ in a relation.
                        ","['A.Row', 'B. Column', 'C. Value', 'D. Tuple']","
                    Answer»
                    B. Column
                "
"
                            What is the method of specifying a primary key in a schema description?
                        ","['A.By writing it in bold letters', 'B. By underlining it using a dashed line', 'C. By writing it in capital letters', 'D. By underlining it using a bold line']","
                    Answer»
                    D. By underlining it using a bold line
                "
"
                            Statement 1: A tuple is a row in a relation
Statement 2: Existence of multiple foreign keys in a same relation is possible
                        ","['A.Both the statements are true', 'B. Statement 1 is correct but Statement 2 is false', 'C. Statement 1 is false but Statement 2 is correct', 'D. Both the statements are false']","
                    Answer»
                    A. Both the statements are true
                "
"
                            Choose the option that correctly explains in words, the function of the following relational
algebra expression σyear≥2009 (book ⋈ borrow)
                        ","['A.Selects all tuples from the Cartesian product of book and borrow', 'B. Selects all the tuples from the natural join of book and borrow wherever the year is lesser than 2009', 'C. Selects all the tuples from the natural join of book and student wherever the year is greater than or equal to 2009', 'D. Selects all tuples from the Cartesian product of book and borrow wherever the year is greater than or equal to 2009']","
                    Answer»
                    B. Selects all the tuples from the natural join of book and borrow wherever the year is lesser than 2009
                "
"
                            State true or false: If a relation consists of a foreign key, then it is called a referenced
relation of the foreign key dependency.
                        ","['A.True', 'B. False', 'C. none', 'D. all']","
                    Answer»
                    B. False
                "
"
                            Which of the following information does an SQL DDL not specify?
                        ","['A.The schema for each relation', 'B. The integrity constraints', 'C. The operations on the tuples', 'D. The security and authorization information for each relation']","
                    Answer»
                    C. The operations on the tuples
                "
"
                            Which of the following data types does the SQL standard not support?
                        ","['A.char(n)', 'B. String(n)', 'C. varchar(n)', 'D. float(n)']","
                    Answer»
                    B. String(n)
                "
"
                            Which command is used to create a new relation in SQL
                        ","['A.create table( , …)', 'B. create relation( , …)', 'C. new table( , …)', 'D. new relation( , …)']","
                    Answer»
                    A. create table( , …)
                "
"
                            If a1, a2, a3 are attributes in a relation and S is another relation, which of the following is
an incorrect specification of an integrity constraint?
                        ","['A.primary key(a1, a2, a3)', 'B. primary key(a1)', 'C. foreign key(a1, a2) references S', 'D. foreign key(a1, a2)']","
                    Answer»
                    D. foreign key(a1, a2)
                "
"
                            What is the syntax to load data into the database? (Consider D as the database and a, b, c
as datA:)
                        ","['A.enter into D (a, b, C:);', 'B. insert into D values (a, b, C:);', 'C. insert into D (a, b, C:);', 'D. insert (a, b, C:) values into D;']","
                    Answer»
                    B. insert into D values (a, b, C:);
                "
"
                            Which of the following commands do we use to delete a relation (R) from a database?
                        ","['A.drop table R', 'B. drop relation R', 'C. delete table R', 'D. delete from R']","
                    Answer»
                    A. drop table R
                "
"
                            Which of the following commands do we use to delete all the tuples from a relation (R)?
                        ","['A.delete table R', 'B. drop table R', 'C. delete from R', 'D. drop from R']","
                    Answer»
                    C. delete from R
                "
"
                            Choose the correct command to delete an attribute A from a relation R
                        ","['A.alter table R delete A', 'B. alter table R drop A', 'C. alter table drop A from R', 'D. delete A from R']","
                    Answer»
                    B. alter table R drop A
                "
"
                            create table apartment(ownerID varchar (5), ownername varchar(25), floor numeric(4,0),
primary key (ownerID:));
Choose the correct option regarding the above statement
                        ","['A.The statement is syntactically wrong', 'B. It creates a relation with three attributes ownerID, ownername, floor in which floor cannot be null.', 'C. It creates a relation with three attributes ownerID, ownername, floor in which ownerID cannot be null.', 'D. It creates a relation with three attributes ownerID, ownername, floor in which ownername must consist of at least 25 characters.']","
                    Answer»
                    C. It creates a relation with three attributes ownerID, ownername, floor in which ownerID cannot be null.
                "
"
                            What does the notnull integrity constraint do?
                        ","['A.It ensures that at least one tuple is present in the relation', 'B. It ensures that at least one foreign key is present in the relation', 'C. It ensures that all tuples have a finite value on a specified attribute', 'D. It ensures that all tuples have finite attributes on all the relations']","
                    Answer»
                    C. It ensures that all tuples have a finite value on a specified attribute
                "
"
                            Which SQL function is used to count the number of rows in a SQL query?
                        ","['A.COUNT()', 'B. NUMBER()', 'C. SUM()', 'D. COUNT(*)']","
                    Answer»
                    D. COUNT(*)
                "
"
                            Which SQL keyword is used to retrieve a maximum value?
                        ","['A.MOST', 'B. TOP', 'C. MAX', 'D. UPPER']","
                    Answer»
                    C. MAX
                "
"
                            Which of the following SQL clauses is used to DELETE tuples from a database table?
                        ","['A.DELETE', 'B. REMOVE', 'C. DROP', 'D. CLEAR']","
                    Answer»
                    A. DELETE
                "
"
                            ___________removes all rows from a table without logging the individual row deletions.
                        ","['A.DELETE', 'B. REMOVE', 'C. DROP', 'D. TRUNCATE']","
                    Answer»
                    D. TRUNCATE
                "
"
                            Which of the following is not a DDL command?
                        ","['A.UPDATE', 'B. TRUNCATE', 'C. ALTER', 'D. None of the Mentioned']","
                    Answer»
                    A. UPDATE
                "
"
                            Which of the following are TCL commands?
                        ","['A.UPDATE and TRUNCATE', 'B. SELECT and INSERT', 'C. GRANT and REVOKE', 'D. ROLLBACK and SAVEPOINT']","
                    Answer»
                    D. ROLLBACK and SAVEPOINT
                "
"
                            ________________ is not a category of SQL command.
                        ","['A.TCL', 'B. SCL', 'C. DCL', 'D. DDL']","
                    Answer»
                    B. SCL
                "
"
                            If you don’t specify ASC or DESC after a SQL ORDER BY clause, the following is used
by default ______________
                        ","['A.ASC', 'B. DESC', 'C. There is no default value', 'D. None of the mentioned']","
                    Answer»
                    A. ASC
                "
"
                            Which of the following statement is true?
                        ","['A.DELETE does not free the space containing the table and TRUNCATE free the space containing the table', 'B. Both DELETE and TRUNCATE free the space containing the table', 'C. Both DELETE and TRUNCATE does not free the space containing the table', 'D. DELETE free the space containing the table and TRUNCATE does not free the space containing the table']","
                    Answer»
                    A. DELETE does not free the space containing the table and TRUNCATE free the space containing the table
                "
"
                            What is the purpose of the SQL AS clause?
                        ","['A.The AS SQL clause is used to change the name of a column in the result set or to assign a name to a derived column', 'B. The AS clause is used with the JOIN clause only', 'C. The AS clause defines a search condition', 'D. All of the mentioned']","
                    Answer»
                    A. The AS SQL clause is used to change the name of a column in the result set or to assign a name to a derived column
                "
"
                            What does DML stand for?
                        ","['A.Different Mode Level', 'B. Data Model Language', 'C. Data Mode Lane', 'D. Data Manipulation language']","
                    Answer»
                    D. Data Manipulation language
                "
"
                            With SQL, how do you select all the records from a table named “Persons” where the value
of the column “FirstName” ends with an “a”?
                        ","['A.SELECT * FROM Persons WHERE FirstName=’a’', 'B. SELECT * FROM Persons WHERE FirstName LIKE ‘a%’', 'C. SELECT * FROM Persons WHERE FirstName LIKE ‘%a’', 'D. SELECT * FROM Persons WHERE FirstName=’%a%’']","
                    Answer»
                    C. SELECT * FROM Persons WHERE FirstName LIKE ‘%a’
                "
"
                            With SQL, how can you return all the records from a table named “Persons” sorted
descending by “FirstName”?
                        ","['A.SELECT * FROM Persons SORT BY ‘FirstName’ DESC', 'B. SELECT * FROM Persons ORDER FirstName DESC', 'C. SELECT * FROM Persons SORT ‘FirstName’ DESC', 'D. SELECT * FROM Persons ORDER BY FirstName DESC']","
                    Answer»
                    D. SELECT * FROM Persons ORDER BY FirstName DESC
                "
"
                            With SQL, how can you return the number of not null records in the “Persons” table?
                        ","['A.SELECT COUNT() FROM Persons', 'B. SELECT COLUMNS() FROM Persons', 'C. SELECT COLUMNS(*) FROM Persons', 'D. SELECT COUNT(*) FROM Persons']","
                    Answer»
                    A. SELECT COUNT() FROM Persons
                "
"
                            What does the ALTER TABLE clause do?
                        ","['A.The SQL ALTER TABLE clause modifies a table definition by altering, adding, or deleting table columns and/or constraints', 'B. The SQL ALTER TABLE clause is used to insert data into database table', 'C. THE SQL ALTER TABLE deletes data from database table', 'D. The SQL ALTER TABLE clause is used to delete a database table']","
                    Answer»
                    A. The SQL ALTER TABLE clause modifies a table definition by altering, adding, or deleting table columns and/or constraints
                "
"
                            The UPDATE SQL clause can _____________
                        ","['A.update only one row at a time', 'B. update more than one row at a time', 'C. delete more than one row at a time', 'D. delete only one row at a time']","
                    Answer»
                    B. update more than one row at a time
                "
"
                            The UNION SQL clause can be used with _____________
                        ","['A.SELECT clause only', 'B. DELETE and UPDATE clauses', 'C. UPDATE clause only', 'D. All of the mentioned']","
                    Answer»
                    A. SELECT clause only
                "
"
                            Which SQL statement is used to return only different values?
                        ","['A.SELECT DIFFERENT', 'B. SELECT UNIQUE', 'C. SELECT DISTINCT', 'D. SELECT ALL']","
                    Answer»
                    C. SELECT DISTINCT
                "
"
                            Which SQL keyword is used to sort the result-set?
                        ","['A.ORDER BY', 'B. SORT', 'C. ORDER', 'D. SORT BY']","
                    Answer»
                    A. ORDER BY
                "
"
                            How can you change “Hansen” into “Nilsen” in the “LastName” column in the Persons table?
                        ","['A.UPDATE Persons SET LastName=’Hansen’ INTO LastName=’Nilsen’', 'B. MODIFY Persons SET LastName=’Nilsen’ WHERE LastName=’Hansen’', 'C. MODIFY Persons SET LastName=’Hansen’ INTO LastName=’Nilsen’', 'D. UPDATE Persons SET LastName=’Nilsen’ WHERE LastName=’Hansen’']","
                    Answer»
                    D. UPDATE Persons SET LastName=’Nilsen’ WHERE LastName=’Hansen’
                "
"
                            Which of the following command makes the updates performed by the transaction
permanent in the database?
                        ","['A.ROLLBACK', 'B. COMMIT', 'C. TRUNCATE', 'D. DELETE']","
                    Answer»
                    B. COMMIT
                "
"
                            Which TCL command undo all the updates performed by the SQL in the transaction?
                        ","['A.ROLLBACK', 'B. COMMIT', 'C. TRUNCATE', 'D. DELETE']","
                    Answer»
                    A. ROLLBACK
                "
"
                            SQL query to find all the cities whose humidity is 95.
                        ","['A.SELECT city WHERE humidity = 95', 'B. SELECT city FROM weather WHERE humidity = 95', 'C. SELECT humidity = 89 FROM weather', 'D. SELECT city FROM weather']","
                    Answer»
                    B. SELECT city FROM weather WHERE humidity = 95
                "
"
                            SQL query to find the temperature in increasing order of all cities.
                        ","['A.SELECT city FROM weather ORDER BY temperature', 'B. SELECT city, temperature FROM weather', 'C. SELECT city, temperature FROM weather ORDER BY temperature', 'D. SELECT city, temperature FROM weather ORDER BY city']","
                    Answer»
                    D. SELECT city, temperature FROM weather ORDER BY city
                "
"
                            What is the meaning of LIKE ‘%0%0%’?
                        ","['A.Feature begins with two 0’s', 'B. Feature ends with two 0’s', 'C. Feature has more than two 0’s', 'D. Feature has two 0’s in it, at any position']","
                    Answer»
                    D. Feature has two 0’s in it, at any position
                "
"
                            Find the names of these cities with temperature and condition whose condition is neither
sunny nor cloudy.
                        ","['A.SELECT city, temperature, condition FROM weather WHERE condition NOT IN (‘sunny’, ‘cloudy’)', 'B. SELECT city, temperature, condition FROM weather WHERE condition NOT BETWEEN (‘sunny’, ‘cloudy’)', 'C. SELECT city, temperature, condition FROM weather WHERE condition IN (‘sunny’, ‘cloudy’)', 'D. SELECT city, temperature, condition FROM weather WHERE condition BETWEEN (‘sunny’, ‘cloudy’);']","
                    Answer»
                    A. SELECT city, temperature, condition FROM weather WHERE condition NOT IN (‘sunny’, ‘cloudy’)
                "
"
                            Find the name of those cities with temperature and condition whose condition is either sunny or cloudy but temperature must be greater than 70.
                        ","['A.SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ AND condition = ‘cloudy’ OR temperature > 70', 'B. SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ OR condition = ‘cloudy’ OR temperature > 70', 'C. SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ OR condition = ‘cloudy’ AND temperature > 70', 'D. SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ AND condition = ‘cloudy’ AND temperature > 70']","
                    Answer»
                    C. SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ OR condition = ‘cloudy’ AND temperature > 70
                "
"
                            Find all the tuples having a temperature greater than ‘Paris’.
                        ","['A.SELECT * FROM weather WHERE temperature > (SELECT temperature FROM weather WHERE city = ‘Paris’', 'B. SELECT * FROM weather WHERE temperature > (SELECT * FROM weather WHERE city = ‘Paris’)', 'C. SELECT * FROM weather WHERE temperature > (SELECT city FROM weather WHERE city = ‘Paris’)', 'D. SELECT * FROM weather WHERE temperature > ‘Paris’ temperature']","
                    Answer»
                    A. SELECT * FROM weather WHERE temperature > (SELECT temperature FROM weather WHERE city = ‘Paris’
                "
"
                            Find all the cities with temperature, condition and humidity whose humidity is in the range
of 63 to 79.
                        ","['A.SELECT * FROM weather WHERE humidity IN (63 to 79)', 'B. SELECT * FROM weather WHERE humidity NOT IN (63 AND 79)', 'C. SELECT * FROM weather WHERE humidity BETWEEN 63 AND 79', 'D. SELECT * FROM weather WHERE humidity NOT BETWEEN 63 AND 79']","
                    Answer»
                    C. SELECT * FROM weather WHERE humidity BETWEEN 63 AND 79
                "
