Questions,options,answer
1) Who developed the basic architecture of computer?,"['', 'Blaise Pascal', 'Charles Babbage', 'John Von Neumann', 'None of the above', '']","
Answer: (c) John Von Neumann
Description: In 1945, Von-Neumann proposed his computer architecture design, and later it was known as the Von-Neumann Architecture. It consisted of a Control Unit, Arithmetic, and Logical Memory Unit (ALU), Registers, and Inputs/Outputs.
"
2) Which of the following allows simultaneous write and read operations?,"['', 'ROM', 'EROM', 'RAM', 'None of the above', '']","
Answer: (c) RAM
Description: RAM, stands for Random Access Memory. It is a hardware device generally located on the motherboard of a computer and acts as an internal memory of the CPU. It is the read and write memory of a computer, which means the information can be written to it as well as read from it.
"
3) Which of the following is not considered as a peripheral device?,"['', 'CPU', 'Keyboard', 'Monitor', 'All of the above', '']","
Answer: (a) CPU
Description: The CPU is not considered as a peripheral device as it is the primary component of the computer, and a computer system cannot work without a CPU. Peripheral devices are not the essential parts of the computer and can be defined as an auxiliary device that connects to and works with the computer such as a mouse, keyboard, etc.
"
4) Which of the following computer memory is fastest?,"['', 'Register', 'Hard disk', 'RAM', 'None of the above', '']","
Answer: (a) Register
Description: Register memory is the smallest and fastest memory in a computer. It is not a part of the main memory and is located in the CPU in the form of registers, which are the smallest data holding elements.
"
5) Which of the following operations is/are performed by the ALU?,"['', 'Data manipulation', 'Exponential', 'Square root', 'All of the above', '']","
Answer: (d) All of the above
Description: Android is a software package and Linux-based operating system for mobile devices such as tablet computers and smartphones.
"
6) Which of the following format is used to store data?,"['', 'Decimal', 'Octal', 'BCD', 'Hexadecimal', '']","
Answer: (c) BCD
Description: The BCD stands for Binary Coded Decimal Number.
"
7) Which of the following memory of the computer is used to speed up the computer processing?,"['', 'Cache memory', 'RAM', 'ROM', 'None of the above', '']","
Answer: (a) Cache memory
Description: Cache memory is a high-speed memory, which is small in size but faster than the main memory (RAM). The CPU can access it more quickly than the primary memory. So, it is used to synchronize with a high-speed CPU and to improve its performance.
"
8) Computer address bus is -,"['', 'Multidirectional', 'Bidirectional', 'Unidirectional', 'None of the above', '']","
Answer: (c) Unidirectional
Description: Address Bus carries the address of data (but not the data) between the processor and the memory. Address bus is 16-bit which can address up to 64 kb. Address bus is unidirectional.
"
9) Which of the following circuit is used to store one bit of data?,"['', 'Flip Flop', 'Decoder', 'Encoder', 'Register', '']","
Answer: (a) Flip Flop
Description: Flip-flop is a digital memory circuit, and with the help of the flip-flop, we can store one bit of information. The fundamental blocks of various sequential circuits are flip-flops. Flip-flop is also called a bistable multivibrator or one-bit or binary.
"
10) Which of the following is a way in which the components of a computer are connected to each other?,"['', 'Computer parts', 'Computer architecture', 'Computer hardware', 'None of the above', '']","
Answer: (b) Computer architecture
Description: Computer Architecture is concerned with the way hardware components are connected together to form a computer system. It acts as the interface between hardware and software.
"
11) Which of the following circuit convert the binary data into a decimal?,"['', 'Decoder', 'Encoder', 'Code converter', 'Multiplexer', '']","
Answer: (c) Code converter
Description: None
"
12) The address in the main memory is known as -,"['', 'Logical address', 'Physical address', 'Memory address', 'None of the above', '']","
Answer: (b) Physical address
Description: Physical address space in a system can be defined as the size of the main memory. It is really important to compare the process size with the physical address space. The process size must be less than the physical address space.
"
13) Subtraction in computers is carried out by -,"['', ""1's complement"", ""2's complement"", ""3's complement"", ""9's complement"", '']","
Answer: (b) 2's complement
Description: 2's complement is used for representing signed numbers and performing arithmetic operations such as subtraction, addition, etc.
"
14) Which of the following computer bus connects the CPU to a memory on the system board?,"['', 'Expansion bus', 'Width bus', 'System bus', 'None of the above', '']","
Answer: (c) System bus
Description: A system bus is a single bus that connects the major components of the computer system.
"
15) Which of the following memory unit communicates directly with the CPU?,"['', 'Auxiliary memory', 'Main memory', 'Secondary memory', 'None of the above', '']","
Answer: (b) Main memory
Description: The main memory acts as the central storage unit in a computer system. Main memory is the memory unit that directly communicates with the CPU. It is a relatively large and fast memory that is used to store programs and data during runtime operations.
"
16) The collection of 8-bits is called as -,"['', 'Byte', 'Nibble', 'Word', 'Record', '']","
Answer: (a) Byte
Description: A Byte is a unit of data measurement which mainly consists of eight bits. A byte is a series of binary digits, which contain '0' or '1'. A byte is represented as upper-case 'B' whereas a bit is represented by small-case ""b"".
"
17) Which of the following register can interact with the secondary storage?,"['', 'PC', 'MAR', 'MDR', 'IR', '']","
Answer: (b) MAR
Description: The Memory Address Register (MAR) contains 12 bits that hold the address for the memory location. The MAR holds the address of the main memory to or from which data is to be transferred.
"
18) In which of the following form the computer stores its data in memory?,"['', 'Hexadecimal form', 'Octal form', 'Binary form', 'Decimal form', '']","
Answer: (c) Binary form
Description: In a computer, the data is stored in binary form that is in the form of binary digit 0, and 1. 0 means OFF, and 1 means ON. A binary number is a base 2 number because it is either 0 or 1. Any combination of 0 and 1 is a binary number such as 1001, 101, 11111, 101010, etc. 
"
